Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,
,,,,,,,,,,
"Effective April 1, 2018 through June 30, 2018",,,,,,,,,,
,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 4Q17 ASP data.,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of ",,,,,,,,,,
a payment allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local ,,,,,,,,,,
Medicare contractor processing the claim.,,,,,,,,,,
,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
90371,Hep b ig im,1 ML,113.513,,,,,,,
90375,Rabies ig im/sc,150 IU,315.082,,,,,,,
90376,Rabies ig heat treated,150 IU,346.298,,,,,,,
90585,Bcg vaccine percut,50 MG,137.666,,,,,,,
90586,Bcg vaccine intravesical,1 EACH,137.666,,,,,,,
90630,Flu vacc iiv4 no preserv id,0.1 ml,20.343,95,20.343,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90632,Hepa vaccine adult im,1 ML,47.295,,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ml,50.217,95,50.217,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,
90656,Iiv3 vacc no prsv 0.5 ml im,0.5 ML,19.247,95,19.247,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90662,Iiv no prsv increased ag im,0.5 ML,49.025,95,49.025,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90670,Pcv13 vaccine im,0.5 ML,205.113,95,,,,,,
90673,Riv3 vaccine no preserv im,0.5 ML,40.613,95,40.613,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,24.047,95,24.047,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90675,Rabies vaccine im,1 ML,287.289,,,,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,46.313,95,46.313,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90685,Iiv4 vacc no prsv 0.25 ml im,0.25 mL,21.198,95,21.198,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,19.032,95,19.032,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,9.403,95,9.403,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,17.835,95,17.835,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,
90691,Typhoid vaccine im,0.5 ML,94.378,,,,,,,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,24.168,,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,32.268,,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,107.746,95,107.746,,,,,
90739,Hepb vacc 2 dose adult im,1 dose,131.100,,,,,,Added April 2018,
90740,Hepb vacc 3 dose immunsup im,40 MCG,130.245,95,130.245,,,,,
90743,Hepb vacc 2 dose adolesc im,1 DOSE,26.135,95,26.135,,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,26.135,95,26.135,,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,65.123,95,65.123,,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,130.245,95,130.245,,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,22.793,95,22.793,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
A9575,Inj gadoterate meglumi 0.1ml,0.1 ml,0.220,,,,,,,
A9576,Inj prohance multipack,1 ML,1.650,,,,,,,
A9577,Inj multihance,1 ML,2.042,,,,,,,
A9578,Inj multihance multipack,1 ML,1.973,,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,2.042,,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.859,,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.382,,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,,,,,,"
microCurie 100% AWP = $158.220
microCurie 100% WAC = $131.850
",
J0129,Abatacept injection,10 MG,50.164,,,,,,,
J0130,Abciximab injection,10 MG,1204.494,,,,,,,
J0132,Acetylcysteine injection,100 MG,1.161,,,,,,,
J0133,Acyclovir injection,5 MG,0.061,,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.728,,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.578,,,,,,,
J0178,Aflibercept injection,1 MG,968.794,,,,,,,
J0180,Agalsidase beta injection,1 MG,172.189,,,,,,,
J0202,"Injection, alemtuzumab",1 MG,1817.560,,,,,,,
J0207,Amifostine,500 MG,948.179,,,,,,,
J0221,Lumizyme injection,10 MG,160.637,,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.446,,,,,,,
J0257,Glassia injection,10 MG,4.643,,,,,,,
J0278,Amikacin sulfate injection,100 MG,1.351,,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,7.722,,,,,,,
J0285,Amphotericin b,50 MG,33.836,,,,,,,
J0287,Amphotericin b lipid complex,10 MG,17.352,,,,,,,
J0289,Amphotericin b liposome inj,10 MG,48.067,,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,1.429,,,,,,,
J0295,Ampicillin sodium per 1.5 gm,1.5 GM,2.456,,,,,,,
J0348,Anidulafungin injection,1 MG,0.536,,,,,,,
J0360,Hydralazine hcl injection,20 MG,3.402,,,,,,,
J0401,Inj aripiprazole ext rel 1mg,1 MG,5.013,,,,,,,
J0456,Azithromycin,500 MG,2.827,,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.058,,,,,,,
J0470,Dimecaprol injection,100 MG,50.905,,,,,,,
J0475,Baclofen 10 mg injection,10 MG,178.376,,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,45.978,,,,,,,
J0480,Basiliximab,20 MG,3550.393,,,,,,,
J0485,Belatacept injection,1 MG,3.886,,,,,,,
J0490,Belimumab injection,10 MG,43.524,,,,,,,
J0500,Dicyclomine injection,20 MG,75.380,,,,,,,
J0515,Inj benztropine mesylate,1 MG,17.931,,,,,,,
J0558,Peng benzathine/procaine inj,"100,000 UNITS",10.026,,,,,,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",12.838,,,,,,,
J0570,Buprenorphine implant 74.2mg,74.2 MG,1229.979,,,,,,,
J0583,Bivalirudin,1 MG,0.831,,,,,,,
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.147,,,,,,,
J0586,Abobotulinumtoxina,5 Unit,8.228,,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,11.989,,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.079,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,3.073,,,,,,AMP-based payment limit,
J0594,Busulfan injection,1 MG,27.949,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,2.656,,,,,,,
J0596,"Injection, ruconest",10 UNITS,27.848,,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,48.917,,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,56.072,,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,5594.422,,,,,,,
J0610,Calcium gluconate injection,10 ML,3.085,,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,2461.058,,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.585,,,,,,,
J0637,Caspofungin acetate,5 MG,15.512,,,,,,,
J0638,Canakinumab injection,1 MG,108.701,,,,,,,
J0640,Leucovorin calcium injection,50 MG,3.274,,,,,,,
J0641,Levoleucovorin injection,0.5 MG,0.357,,,,,,,
J0670,Inj mepivacaine hcl/10 ml,10 ML,2.636,,,,,,AMP-based payment limit,
J0690,Cefazolin sodium injection,500 MG,0.854,,,,,,,
J0692,Cefepime hcl for injection,500 MG,2.602,,,,,,,
J0694,Cefoxitin sodium injection,1 GM,4.976,,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.671,,,,,,,
J0697,Sterile cefuroxime injection,750 MG,2.929,,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,7.222,,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,2.618,,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,2.330,,,,,,,
J0717,Certolizumab pegol inj 1mg,1 MG,7.737,,,,,,,
J0720,Chloramphenicol sodium injec,1 GM,39.396,,,,,,,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,22.718,,,,,,,
J0735,Clonidine hydrochloride,1 MG,13.101,,,,,,,
J0740,Cidofovir injection,375 MG,493.461,,,,,,,
J0743,Cilastatin sodium injection,250 MG,6.122,,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.263,,,,,,,
J0770,Colistimethate sodium inj,150 MG,15.525,,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,43.579,,,,,,,
J0780,Prochlorperazine injection,10 MG,10.068,,,,,,,
J0795,Corticorelin ovine triflutal,1 MCG,8.605,,,,,,,
J0800,Corticotropin injection,40 UNITS,3754.071,,,,,,,
J0834,Cosyntropin cortrosyn inj,0.25 MG,34.652,,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,3086.275,,,,,,,
J0850,Cytomegalovirus imm iv /vial,PER VIAL,1129.124,,,,,,,
J0875,"Injection, dalbavancin",5 MG,14.734,,,,,,,
J0878,Daptomycin injection,1 MG,0.421,,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,3.779,,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,3.779,,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,13.000,,,,,,,
J0887,Epoetin beta esrd use,1 MCG,1.904,,,,,,,
J0888,Epoetin beta non esrd,1 MCG,1.904,,,,,,,
J0894,Decitabine injection,1 MG,16.420,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,9.179,,,,,,,
J0897,Denosumab injection,1 MG,17.937,,,,,,,
J1000,Depo-estradiol cypionate inj,5 MG,20.175,,,,,,,
J1020,Methylprednisolone 20 mg inj,20 MG,4.837,,,,,,,
J1030,Methylprednisolone 40 mg inj,40 MG,6.638,,,,,,,
J1040,Methylprednisolone 80 mg inj,80 MG,12.909,,,,,,,
J1050,Medroxyprogesterone acetate,1 MG,0.518,,,,,,,
J1071,Inj testosterone cypionate,1 MG,0.029,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.125,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,83.347,,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,18.259,,,,,,,
J1160,Digoxin injection,0.5 MG,4.036,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,3513.187,,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.448,,,,,,,
J1170,Hydromorphone injection,4 MG,1.545,,,,,,,
J1190,Dexrazoxane hcl injection,250 MG,243.126,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.587,,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,49.562,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ml,50 ML,549.337,,,,,,,
J1230,Methadone injection,10 MG,18.606,,,,,,,
J1240,Dimenhydrinate injection,50 MG,6.876,,,,,,,
J1245,Dipyridamole injection,10 MG,0.795,,,,,,,
J1250,Inj dobutamine hcl/250 mg,250 MG,4.099,,,,,,,
J1265,Dopamine injection,40 MG,0.554,,,,,,,
J1267,Doripenem injection,10 MG,0.739,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,0.437,,,,,,,
J1290,Ecallantide injection,1 MG,457.083,,,,,,,
J1300,Eculizumab injection,10 MG,230.479,,,,,,,
J1325,Epoprostenol injection,0.5 MG,15.794,,,,,,,
J1335,Ertapenem injection,500 MG,56.546,,,,,,,
J1364,Erythro lactobionate /500 mg,500 MG,72.356,,,,,,,
J1380,Estradiol valerate 10 mg inj,10 MG,10.541,,,,,,,
J1410,Inj estrogen conjugate 25 mg,25 MG,301.601,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,444.099,,,,,,,
J1439,Inj ferric carboxymaltos 1mg,1 MG,1.052,,,,,,,
J1442,Inj filgrastim excl biosimil,1 MCG,1.019,,,,,,,
J1447,Inj tbo filgrastim 1 microg,1 MCG,0.605,,,,,,,
J1450,Fluconazole,200 MG,4.582,,,,,,,
J1453,Fosaprepitant injection,1 MG,2.098,,,,,,,
J1458,Galsulfase injection,1 MG,380.905,,,,,,,
J1459,Inj ivig privigen 500 mg,500 MG,39.652,,,,,,,
J1460,Gamma globulin 1 cc inj,1 CC,38.793,,,,,,,
J1555,"Inj cuvitru, 100 mg",100 MG,13.525,,,,,,,
J1556,"Inj, imm glob bivigam, 500mg",500 MG,70.516,,,,,,,
J1557,Gammaplex injection,500 MG,39.093,,,,,,,
J1559,Hizentra injection,100 MG,9.833,,,,,,,
J1560,Gamma globulin > 10 cc inj,10 CC,387.926,,,,,,,
J1561,Gamunex-c/gammaked,500 MG,39.145,,,,,,,
J1566,"Immune globulin, powder",500 MG,35.530,,,,,,,
J1568,Octagam injection,500 MG,41.407,,,,,,,
J1569,Gammagard liquid injection,500 MG,39.689,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,65.695,,,,,,,
