Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,
,,,,,,,,,
"Effective April 1, 2019 through June 30, 2019",,,,,,,,,
,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 4Q18 ASP data.,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of ",,,,,,,,,
a payment allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local ,,,,,,,,,
Medicare contractor processing the claim.,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,Hep b ig im,1 ML,125.369,,,,,,
90375,Rabies ig im/sc,150 IU,312.463,,,,,,
90376,Rabies ig heat treated,150 IU,279.236,,,,,,
90585,Bcg vaccine percut,50 MG,141.981,,,,,,
90586,Bcg vaccine intravesical,1 EACH,141.981,,,,,,
90632,Hepa vaccine adult im,1 ML,59.652,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ml,54.673,95,54.673,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90656,Iiv3 vacc no prsv 0.5 ml im,0.5 ML,19.773,95,19.773,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90662,Iiv no prsv increased ag im,0.5 ML,53.373,95,53.373,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,Pcv13 vaccine im,0.5 ML,215.333,95,215.333,,,,
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,24.047,95,24.047,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90675,Rabies vaccine im,1 ML,283.755,,,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,53.373,95,53.373,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90685,Iiv4 vacc no prsv 0.25 ml im,0.25 mL,21.813,95,21.813,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,19.032,95,19.032,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,9.403,95,9.403,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,17.835,95,17.835,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90691,Typhoid vaccine im,0.5 ML,93.047,,,,,,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,23.144,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,32.052,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,114.211,95,114.211,,,,
90739,Hepb vacc 2 dose adult im,1 dose,131.100,95,131.100,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,134.121,95,134.121,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,26.898,95,26.898,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,67.061,95,67.061,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,134.121,95,134.121,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,22.793,95,22.793,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
A9575,Inj gadoterate meglumi 0.1ml,0.1 ml,0.212,,,,,,
A9576,Inj prohance multipack,1 ML,1.445,,,,,,
A9577,Inj multihance,1 ML,1.981,,,,,,
A9578,Inj multihance multipack,1 ML,1.959,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.624,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.789,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.385,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1139.500,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,,,,,,"
microCurie 100% AWP = $161.390
microCurie 100% WAC = $134.490
"
J0129,Abatacept injection,10 MG,52.490,,,,,,
J0130,Abciximab injection,10 MG,1429.071,,,,,,
J0132,Acetylcysteine injection,100 MG,1.138,,,,,,
J0133,Acyclovir injection,5 MG,0.046,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.806,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.765,,,,,,
J0178,Aflibercept injection,1 MG,960.197,,,,,,
J0180,Agalsidase beta injection,1 MG,178.196,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,2.230,,,,,,
J0202,"Injection, alemtuzumab",1 MG,1873.162,,,,,,
J0207,Amifostine,500 MG,990.389,,,,,,
J0221,Lumizyme injection,10 MG,166.208,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.563,,,,,,
J0257,Glassia injection,10 MG,4.717,,,,,,
J0278,Amikacin sulfate injection,100 MG,1.218,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,7.332,,,,,,
J0285,Amphotericin b,50 MG,37.507,,,,,,
J0287,Amphotericin b lipid complex,10 MG,6.164,,,,,,
J0289,Amphotericin b liposome inj,10 MG,23.917,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,0.976,,,,,,
J0295,Ampicillin sulbactam 1.5 gm,1.5 GM,2.814,,,,,,
J0348,Anidulafungin injection,1 MG,0.543,,,,,,
J0360,Hydralazine hcl injection,20 MG,2.579,,,,,,
J0401,Inj aripiprazole ext rel 1mg,1 MG,5.453,,,,,,
J0456,Azithromycin,500 MG,2.577,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.066,,,,,,
J0470,Dimecaprol injection,100 MG,54.151,,,,,,
J0475,Baclofen 10 mg injection,10 MG,174.189,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,49.985,,,,,,
J0480,Basiliximab,20 MG,3687.169,,,,,,
J0485,Belatacept injection,1 MG,3.777,,,,,,
J0490,Belimumab injection,10 MG,44.162,,,,,,
J0500,Dicyclomine injection,20 MG,82.329,,,,,,
J0515,Inj benztropine mesylate,1 MG,18.749,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,166.880,,,,,,
