Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,
,,,,,,,,,
"Effective January 1, 2019 through March 31, 2019",,,,,,,,,
,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 3Q18 ASP data.,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of ",,,,,,,,,
a payment allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local ,,,,,,,,,
Medicare contractor processing the claim.,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,Hep b ig im,1 ML,119.537,,,,,,
90375,Rabies ig im/sc,150 IU,307.024,,,,,,
90376,Rabies ig heat treated,150 IU,311.990,,,,,,
90585,Bcg vaccine percut,50 MG,140.257,,,,,,
90586,Bcg vaccine intravesical,1 EACH,140.257,,,,,,
90632,Hepa vaccine adult im,1 ML,58.272,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ml,54.673,95,54.673,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90656,Iiv3 vacc no prsv 0.5 ml im,0.5 ML,19.773,95,19.773,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90662,Iiv no prsv increased ag im,0.5 ML,53.373,95,53.373,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,Pcv13 vaccine im,0.5 ML,205.113,95,205.113,,,,
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,24.047,95,24.047,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90675,Rabies vaccine im,1 ML,289.976,,,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,53.373,95,53.373,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90685,Iiv4 vacc no prsv 0.25 ml im,0.25 mL,21.813,95,21.813,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,19.032,95,19.032,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,9.403,95,9.403,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,17.835,95,17.835,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90691,Typhoid vaccine im,0.5 ML,69.888,,,,,,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,23.126,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,32.335,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,107.746,95,107.746,,,,
90739,Hepb vacc 2 dose adult im,1 dose,131.100,95,131.100,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,130.245,95,130.245,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,26.135,95,26.135,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,65.123,95,65.123,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,130.245,95,130.245,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,22.793,95,22.793,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
A9575,Inj gadoterate meglumi 0.1ml,0.1 ml,0.213,,,,,,
A9576,Inj prohance multipack,1 ML,1.496,,,,,,
A9577,Inj multihance,1 ML,2.014,,,,,,
A9578,Inj multihance multipack,1 ML,1.940,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.745,,,,,,
