Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective July 1, 2019 through September 30, 2019",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q19 ASP data.,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of ",,,,,,,,,,,
a payment allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local ,,,,,,,,,,,
Medicare contractor processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
90371,Hep b ig im,1 ML,118.199,,,,,,,,
90375,Rabies ig im/sc,150 IU,301.728,,,,,,,,
90376,Rabies ig heat treated,150 IU,285.655,,,,,,,,
90585,Bcg vaccine percut,50 MG,141.032,,,,,,,,
90586,Bcg vaccine intravesical,1 EACH,141.032,,,,,,,,
90632,Hepa vaccine adult im,1 ML,59.629,,,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ml,54.673,95,54.673,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,,
90656,Iiv3 vacc no prsv 0.5 ml im,0.5 ML,19.773,95,19.773,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90662,Iiv no prsv increased ag im,0.5 ML,53.373,95,53.373,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90670,Pcv13 vaccine im,0.5 ML,215.333,95,215.333,,,,,,
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,24.047,95,24.047,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90675,Rabies vaccine im,1 ML,294.530,,,,,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,53.373,95,53.373,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90685,Iiv4 vacc no prsv 0.25 ml im,0.25 mL,21.813,95,21.813,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,19.032,95,19.032,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,9.403,95,9.403,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,,
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,17.835,95,17.835,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,,
90691,Typhoid vaccine im,0.5 ML,89.733,,,,,,,,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,23.618,,,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,32.841,,,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,114.211,95,114.211,,,,,,
90739,Hepb vacc 2 dose adult im,1 dose,131.100,95,131.100,,,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,134.121,95,134.121,,,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,26.898,95,,,,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,67.061,95,67.061,,,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,134.121,95,134.121,,,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,22.793,95,22.793,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
A9576,Inj prohance multipack,1 ML,1.407,,,,,,,,
A9577,Inj multihance,1 ML,1.936,,,,,,,,
A9578,Inj multihance multipack,1 ML,1.926,,,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.561,,,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.742,,,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.374,,,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1139.500,,,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,,,,,,"
microCurie 100% AWP = $164.280
microCurie 100% WAC = $136.980
",,
J0129,Abatacept injection,10 MG,53.944,,,,,,,,
J0130,Abciximab injection,10 MG,1429.071,,,,,,,,
J0132,Acetylcysteine injection,100 MG,1.307,,,,,,,,
J0133,Acyclovir injection,5 MG,0.039,,,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.631,,,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.862,,,,,,,,
J0178,Aflibercept injection,1 MG,957.363,,,,,,,,
J0180,Agalsidase beta injection,1 MG,182.429,,,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,2.268,,,,,,Updated July 2020,,
J0202,"Injection, alemtuzumab",1 MG,1918.346,,,,,,,,
J0207,Amifostine,500 MG,977.310,,,,,,,,
J0221,Lumizyme injection,10 MG,170.081,,,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.507,,,,,,,,
J0257,Glassia injection,10 MG,4.887,,,,,,,,
J0278,Amikacin sulfate injection,100 MG,1.210,,,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,7.334,,,,,,,,
J0285,Amphotericin b,50 MG,40.280,,,,,,,,
J0287,Amphotericin b lipid complex,10 MG,7.122,,,,,,,,
J0289,Amphotericin b liposome inj,10 MG,18.325,,,,,,AMP-based payment limit,,
J0290,Ampicillin 500 mg inj,500 MG,0.921,,,,,,,,
J0295,Ampicillin sulbactam 1.5 gm,1.5 GM,3.317,,,,,,,,
J0348,Anidulafungin injection,1 MG,0.549,,,,,,,,
J0360,Hydralazine hcl injection,20 MG,4.067,,,,,,,,
J0401,Inj aripiprazole ext rel 1mg,1 MG,5.449,,,,,,,,
J0456,Azithromycin,500 MG,2.752,,,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.067,,,,,,,,
