Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,
,,,,,,,,,
"Effective July 1, 2020 through September 30, 2020",,,,,,,,,
,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q20 ASP data.,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,Hep b ig im,1 ML,115.892,,,,,,
90375,Rabies ig im/sc,150 IU,259.553,,,,,,
90376,Rabies ig heat treated,150 IU,297.610,,,,,,
90586,Bcg vaccine intravesical,1 EACH,140.734,,,,,,
90632,Hepa vaccine adult im,1 ML,61.225,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ml,59.530,95,59.530,,,,"Payment allowance is valid until July 31, 2020. See the Seasonal Influenza Vaccines Pricing webpage for updated payment limits and effective dates"
90662,Iiv no prsv increased ag im,0.5 ML,56.006,95,56.006,,,,"Payment allowance is valid until July 31, 2020. See the Seasonal Influenza Vaccines Pricing webpage for updated payment limits and effective dates"
90670,Pcv13 vaccine im,0.5 ML,230.141,95,230.141,,,,
90672,Laiv4 vaccine intranasal,0.2 ML,26.876,95,26.876,,,,"Payment allowance is valid until July 31, 2020. See the Seasonal Influenza Vaccines Pricing webpage for updated payment limits and effective dates"
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,28.130,95,28.130,,,,"Payment allowance is valid until July 31, 2020. See the Seasonal Influenza Vaccines Pricing webpage for updated payment limits and effective dates"
90675,Rabies vaccine im,1 ML,294.721,,,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,56.006,95,56.006,,,,"Payment allowance is valid until July 31, 2020. See the Seasonal Influenza Vaccines Pricing webpage for updated payment limits and effective dates"
90685,Iiv4 vacc no prsv 0.25 ml im,0.25 mL,20.343,95,20.343,,,,"Payment allowance is valid until July 31, 2020. See the Seasonal Influenza Vaccines Pricing webpage for updated payment limits and effective dates"
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,19.032,95,19.032,,,,"Payment allowance is valid until July 31, 2020. See the Seasonal Influenza Vaccines Pricing webpage for updated payment limits and effective dates"
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,9.403,95,9.403,,,,"Payment allowance is valid until July 31, 2020. See the Seasonal Influenza Vaccines Pricing webpage for updated payment limits and effective dates"
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,17.835,95,17.835,,,,"Payment allowance is valid until July 31, 2020. See the Seasonal Influenza Vaccines Pricing webpage for updated payment limits and effective dates"
90691,Typhoid vaccine im,0.5 ML,105.111,,,,,,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,28.939,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,33.441,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,119.921,95,119.921,,,,
90739,Hepb vacc 2 dose adult im,1 dose,131.100,95,131.100,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,140.756,95,140.756,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,28.208,95,28.208,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,69.648,95,69.648,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,140.756,95,140.756,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,26.657,95,26.657,,,,"Payment allowance is valid until July 31, 2020. See the Seasonal Influenza Vaccines Pricing webpage for updated payment limits and effective dates"
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.188,,,,,,
A9576,Inj prohance multipack,1 ML,1.408,,,,,,
A9577,Inj multihance,1 ML,1.834,,,,,,
A9578,Inj multihance multipack,1 ML,1.758,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.534,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.742,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.365,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1173.134,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,,,,,,"microCurie 100% AWP = $166.020
microCurie 100% WAC = $136.980"
J0121,"Inj., omadacycline, 1 mg",1 MG,3.210,,,,,,
J0122,"Inj., eravacycline, 1 mg",1 MG,1.028,,,,,,
J0129,Abatacept injection,10 MG,56.739,,,,,,
J0132,Acetylcysteine injection,100 MG,1.076,,,,,,
J0133,Acyclovir injection,5 MG,0.068,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.622,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.909,,,,,,
J0178,Aflibercept injection,1 MG,931.767,,,,,,
J0179,"Inj, brolucizumab-dbll, 1 mg",1 MG,316.148,,,,,,
J0180,Agalsidase beta injection,1 MG,187.950,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,1.878,,,,,,
J0202,"Injection, alemtuzumab",1 MG,1986.429,,,,,,
J0207,Amifostine,500 MG,1135.691,,,,,,
J0221,Lumizyme injection,10 MG,173.864,,,,,,
J0222,"Inj., patisiran, 0.1 mg",0.1 MG,98.213,,,,,,
J0223,Inj givosiran 0.5 mg,0.5 MG,107.178,,,,,,Added July 2020
J0256,Alpha 1 proteinase inhibitor,10 MG,4.377,,,,,,
J0257,Glassia injection,10 MG,4.812,,,,,,
