Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective October 1, 2020 through December 31, 2020",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q20 ASP data.,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
90371,Hep b ig im,1 ML,119.087,,,,,,,,
90375,Rabies ig im/sc,150 IU,273.035,,,,,,,,
90376,Rabies ig heat treated,150 IU,331.803,,,,,,,,
90586,Bcg vaccine intravesical,1 EACH,139.634,,,,,,,,
90632,Hepa vaccine adult im,1 ML,58.442,,,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ml,59.529,95,59.529,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,,
90662,Iiv no prsv increased ag im,0.5 ML,60.982,95,60.982,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90670,Pcv13 vaccine im,0.5 ML,230.141,95,230.141,,,,,,
90672,Laiv4 vaccine intranasal,0.2 ML,26.876,95,26.876,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,29.228,95,29.228,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90675,Rabies vaccine im,1 ML,303.241,,,,,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,60.982,95,60.982,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90685,Iiv4 vacc no prsv 0.25 ml im,0.25 mL,21.129,95,21.129,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,19.581,95,19.581,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,9.584,95,9.584,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,,
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,19.168,95,19.168,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,,
90691,Typhoid vaccine im,0.5 ML,75.163,,,,,,,,
90694,Vacc AIIV4 no prsrv 0.5ML IM,0.5 ML,61.000,95,61.000,,,,Added October 2020 - see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,25.269,,,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,34.276,,,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,119.921,95,119.921,,,,,,
90739,Hepb vacc 2 dose adult im,1 dose,131.100,95,131.100,,,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,140.756,95,140.756,,,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,28.208,95,28.208,,,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,69.648,95,69.648,,,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,140.756,95,140.756,,,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,27.695,95,27.695,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.175,,,,,,,,
A9576,Inj prohance multipack,1 ML,1.502,,,,,,,,
A9577,Inj multihance,1 ML,1.814,,,,,,,,
A9578,Inj multihance multipack,1 ML,1.750,,,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.527,,,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.762,,,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.357,,,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1173.505,,,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,,,,,,"microCurie 100% AWP = $166.020
microCurie 100% WAC = $138.350",,
J0121,"Inj., omadacycline, 1 mg",1 MG,3.147,,,,,,,,
J0122,"Inj., eravacycline, 1 mg",1 MG,1.018,,,,,,,,
J0129,Abatacept injection,10 MG,58.103,,,,,,,,
J0132,Acetylcysteine injection,100 MG,1.056,,,,,,,,
J0133,Acyclovir injection,5 MG,0.053,,,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.568,,,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.884,,,,,,,,
J0178,Aflibercept injection,1 MG,928.241,,,,,,,,
J0179,"Inj, brolucizumab-dbll, 1 mg",1 MG,311.994,,,,,,,,
J0180,Agalsidase beta injection,1 MG,188.990,,,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,1.732,,,,,,,,
J0202,"Injection, alemtuzumab",1 MG,1984.320,,,,,,,,
J0207,Amifostine,500 MG,1135.691,,,,,,,,
J0221,Lumizyme injection,10 MG,174.488,,,,,,,,
J0222,"Inj., patisiran, 0.1 mg",0.1 MG,97.843,,,,,,,,
J0223,Inj givosiran 0.5 mg,0.5 MG,106.875,,,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.358,,,,,,,,
J0257,Glassia injection,10 MG,4.834,,,,,,,,
J0278,Amikacin sulfate injection,100 MG,1.302,,,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,9.017,,,,,,,,
J0285,Amphotericin b,50 MG,38.925,,,,,,,,
J0287,Amphotericin b lipid complex,10 MG,9.358,,,,,,,,
J0289,Amphotericin b liposome inj,10 MG,26.563,,,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,0.922,,,,,,,,
J0291,"Inj., plazomicin, 5 mg",5 MG,3.105,,,,,,,,
J0295,Ampicillin sulbactam 1.5 gm,1.5 GM,2.642,,,,,,,,
J0348,Anidulafungin injection,1 MG,0.510,,,,,,,,
J0360,Hydralazine hcl injection,20 MG,3.375,,,,,,,,
J0401,Inj aripiprazole ext rel 1mg,1 MG,5.700,,,,,,,,
J0456,Azithromycin,500 MG,4.033,,,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.085,,,,,,,,
J0475,Baclofen 10 mg injection,10 MG,172.277,,,,,,updated April 2021,,
J0476,Baclofen intrathecal trial,50 MCG,59.485,,,,,,updated April 2021,,
J0480,Basiliximab,20 MG,4005.187,,,,,,,,
J0485,Belatacept injection,1 MG,3.775,,,,,,,,
J0490,Belimumab injection,10 MG,46.179,,,,,,,,
J0500,Dicyclomine injection,20 MG,33.573,,,,,,,,
J0515,Inj benztropine mesylate,1 MG,17.265,,,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,170.112,,,,,,,,
J0558,Peng benzathine/procaine inj,"100,000 UNITS",11.998,,,,,,,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",15.158,,,,,,,,
J0565,"Inj, bezlotoxumab, 10 mg",10 MG,39.645,,,,,,,,
J0570,Buprenorphine implant 74.2mg,74.2 MG,1207.160,,,,,,,,
J0583,Bivalirudin,1 MG,0.481,,,,,,,,
J0584,"Injection, burosumab-twza 1m",1 MG,361.895,,,,,,,,
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.077,,,,,,,,
J0586,Abobotulinumtoxina,5 Unit,8.149,,,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,11.929,,,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.019,,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,4.478,,,,,,,,
J0594,Busulfan injection,1 MG,3.405,,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,2.886,,,,,,,,
J0596,"Injection, ruconest",10 UNITS,29.108,,,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,54.134,,,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,56.199,,,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,5594.422,,,,,,,,
J0610,Calcium gluconate injection,10 ML,3.979,,,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,2839.223,,,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.752,,,,,,,,
J0637,Caspofungin acetate,5 MG,6.871,,,,,,,,
J0638,Canakinumab injection,1 MG,113.238,,,,,,,,
J0640,Leucovorin calcium injection,50 MG,2.800,,,,,,,,
J0641,Inj levoleucovorin nos 0.5mg,0.5 MG,0.280,,,,,,,,
J0642,"Injection, khapzory, 0.5 mg",0.5 MG,1.891,,,,,,Updated January 2021,,
J0670,Inj mepivacaine hcl/10 ml,10 ML,2.995,,,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.968,,,,,,,,
J0691,Inj lefamulin 1 mg,1 MG,0.724,,,,,,,,
J0692,Cefepime hcl for injection,500 MG,1.881,,,,,,updated April 2021,,
J0694,Cefoxitin sodium injection,1 GM,7.360,,,,,,,,
J0695,Inj ceftolozane tazobactam,75mg (50mg cft/25mg taz),6.490,,,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.631,,,,,,,,
J0697,Sterile cefuroxime injection,750 MG,1.941,,,,,,,,
