Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,
,,,,,,,,,
"Effective April 1, 2022 through June 30, 2022",,,,,,,,,
,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 4Q21 ASP data.,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,Hep b ig im,1 ML,138.917,,,,,,
90375,Rabies ig im/sc,150 IU,321.802,,,,,,
90376,Rabies ig heat treated,150 IU,332.821,,,,,,
90377,Rabies ig ht&sol human im/sc,150 IU,223.614,,,,,,
90586,Bcg vaccine intravesical,1 EACH,141.234,,,,,,
90632,Hepa vaccine adult im,1 ML,65.695,,,,,,
90662,Iiv no prsv increased ag im,0.5 ML,65.261,95,65.261,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,Pcv13 vaccine im,0.5 ML,257.989,95,257.989,,,,
90671,PCV15 vaccine IM,1 EA,246.195,95,246.195,,,,
90672,Laiv4 vaccine intranasal,0.2 ML,26.876,95,26.876,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,29.940,95,29.940,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90675,Rabies vaccine im,1 ML,293.588,,,,,,
90677,Pcv20 vaccine im,0.5 ML,283.717,95,283.717,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,65.261,95,65.261,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90685,Iiv4 vacc no prsv 0.25 ml im,0.25 mL,21.639,95,21.639,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,20.526,95,20.526,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
