Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,
,,,,,,,,,
"Effective January 1, 2022 through March 31, 2022",,,,,,,,,
,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 3Q21 ASP data.,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,Hep b ig im,1 ML,135.593,,,,,,
90375,Rabies ig im/sc,150 IU,308.669,,,,,,
90376,Rabies ig heat treated,150 IU,356.331,,,,,,
90377,Rabies ig ht&sol human im/sc,150 IU,239.919,,,,,,
90586,Bcg vaccine intravesical,1 EACH,141.524,,,,,,
90632,Hepa vaccine adult im,1 ML,64.737,,,,,,
90662,Iiv no prsv increased ag im,0.5 ML,65.261,95,65.261,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,Pcv13 vaccine im,0.5 ML,241.383,95,241.383,,,,
90671,PCV15 vaccine IM,1 EA,246.195,95,246.195,,,,Added January 2022
90672,Laiv4 vaccine intranasal,0.2 ML,26.876,95,26.876,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,29.940,95,29.940,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90675,Rabies vaccine im,1 ML,341.946,,,,,,
90677,Pcv20 vaccine im,0.5 ML,264.737,95,264.737,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,65.261,95,65.261,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90685,Iiv4 vacc no prsv 0.25 ml im,0.25 mL,21.639,95,21.639,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,20.526,95,20.526,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,9.953,95,9.953,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,19.906,95,19.906,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90694,Vacc AIIV4 no prsrv 0.5ML IM,0.5 ML,66.426,95,66.426,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90714,Td vacc no presv 7 yrs+ im,0.5 ML,27.700,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,36.162,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,133.472,95,133.472,,,,
90739,Hepb vacc 2 dose adult im,1 dose,144.210,95,144.210,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,140.756,95,140.756,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,28.757,95,28.757,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,70.378,95,70.378,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,140.756,95,140.756,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,28.370,95,28.370,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.151,,,,,,
A9576,Inj prohance multipack,1 ML,1.451,,,,,,
A9577,Inj multihance,1 ML,1.878,,,,,,
A9578,Inj multihance multipack,1 ML,1.774,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.575,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.738,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.346,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1199.104,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,,,,,,"microCurie 100% AWP = $174.020
microCurie 100% WAC = $145.020"
J0121,"Inj., omadacycline, 1 mg",1 MG,3.327,,,,,,
J0122,"Inj., eravacycline, 1 mg",1 MG,1.013,,,,,,
J0129,Abatacept injection,10 MG,44.522,,,,,,"""lesser of"" methodology applied"
J0132,Acetylcysteine injection,100 MG,0.785,,,,,,
J0133,Acyclovir injection,5 MG,0.041,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.523,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.723,,,,,,
J0172,"Inj, aducanumab-avwa, 2 mg",2 MG,11.872,,,,,,Added January 2022
J0178,Aflibercept injection,1 MG,915.747,,,,,,
J0179,"Inj, brolucizumab-dbll, 1 mg",1 MG,311.931,,,,,,
J0180,Agalsidase beta injection,1 MG,198.747,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,1.722,,,,,,
J0202,"Injection, alemtuzumab",1 MG,2129.148,,,,,,
J0221,Lumizyme injection,10 MG,181.416,,,,,,
J0222,"Inj., patisiran, 0.1 mg",0.1 MG,97.775,,,,,,
J0223,Inj givosiran 0.5 mg,0.5 MG,106.667,,,,,,
J0248,"Inj, remdesivir, 1 mg",1 MG,5.512,,,,,,Added January 2022
J0256,Alpha 1 proteinase inhibitor,10 MG,4.546,,,,,,
J0257,Glassia injection,10 MG,4.982,,,,,,
J0278,Amikacin sulfate injection,100 MG,0.912,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,6.139,,,,,,
J0285,Amphotericin b,50 MG,41.002,,,,,,
J0287,Amphotericin b lipid complex,10 MG,9.602,,,,,,
J0289,Amphotericin b liposome inj,10 MG,29.467,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,0.711,,,,,,
J0291,"Inj., plazomicin, 5 mg",5 MG,3.099,,,,,,
J0295,Ampicillin sulbactam 1.5 gm,1.5 GM,2.727,,,,,,
J0348,Anidulafungin injection,1 MG,0.567,,,,,,
J0360,Hydralazine hcl injection,20 MG,5.353,,,,,,
J0401,Inj aripiprazole ext rel 1mg,1 MG,5.990,,,,,,
J0456,Azithromycin,500 MG,2.634,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.088,,,,,,
J0475,Baclofen 10 mg injection,10 MG,181.568,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,73.059,,,,,,
J0480,Basiliximab,20 MG,4037.651,,,,,,
J0485,Belatacept injection,1 MG,3.789,,,,,,
J0490,Belimumab injection,10 MG,48.233,,,,,,
J0500,Dicyclomine injection,20 MG,28.625,,,,,,Updated April 2022
J0515,Inj benztropine mesylate,1 MG,19.020,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,167.440,,,,,,
J0558,Peng benzathine/procaine inj,"100,000 UNITS",11.776,,,,,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",15.044,,,,,,
J0565,"Inj, bezlotoxumab, 10 mg",10 MG,39.786,,,,,,
J0583,Bivalirudin,1 MG,0.419,,,,,,
J0584,"Injection, burosumab-twza 1m",1 MG,380.146,,,,,,
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.171,,,,,,Updated April 2022
J0586,Abobotulinumtoxina,5 Unit,8.309,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,12.123,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.058,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,4.089,,,,,,
J0594,Busulfan injection,1 MG,1.451,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,2.891,,,,,,
J0596,"Injection, ruconest",10 UNITS,30.015,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,57.397,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,58.962,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,5708.594,,,,,,
J0610,Calcium gluconate injection,10 ML,4.288,,,,,,
