Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective April 1, 2023 through June 30, 2023",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 4Q22 ASP data.,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
90371,Hep b ig im,1 ML,131.758,20.000,,,,,,,
90375,Rabies ig im/sc,150 IU,336.198,20.000,,,,,,,
90376,Rabies ig heat treated,150 IU,296.743,20.000,,,,,,,
90377,Rabies ig ht&sol human im/sc,150 IU,232.026,20.000,,,,,,,
90586,Bcg vaccine intravesical,1 EACH,143.721,20.000,,,,,,,
90632,Hepa vaccine adult im,1 ML,70.103,20.000,,,,,,,
90662,Iiv no prsv increased ag im,0.5 ML,69.941,0.000,95,69.941,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90670,Pcv13 vaccine im,0.5 ML,257.989,0.000,95,257.989,,,,,
90671,PCV15 vaccine IM,1 EA,246.195,0.000,95,246.195,,,,,
90672,Laiv4 vaccine intranasal,0.2 ML,26.876,0.000,95,26.876,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,32.278,0.000,95,32.278,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90675,Rabies vaccine im,1 ML,342.224,20.000,,,,,,,
90677,Pcv20 vaccine im,0.5 ML,288.664,0.000,95,288.664,,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,69.941,0.000,95,69.941,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,21.518,0.000,95,21.518,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,10.241,0.000,95,10.241,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,20.482,0.000,95,20.482,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,
90694,Vacc AIIV4 no prsrv 0.5ML IM,0.5 ML,71.682,0.000,95,71.682,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,29.266,20.000,,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,37.629,20.000,,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,133.472,0.000,95,133.472,,,,,
90739,Hepb vacc 2 dose adult im,1 DOSE,152.076,0.000,95,152.076,,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,152.124,0.000,95,152.124,,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,73.847,0.000,95,73.847,,,,,
