Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective July 1, 2023 through September 30, 2023",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q23 ASP data.,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
90371,Hep b ig im,1 ML,136.744,20.000,,,,,,,
90375,Rabies ig im/sc,150 IU,284.678,20.000,,,,,,,
90376,Rabies ig heat treated,150 IU,250.093,20.000,,,,,,,
90377,Rabies ig ht&sol human im/sc,150 IU,234.090,20.000,,,,,,,
90586,Bcg vaccine intravesical,1 EACH,144.714,20.000,,,,,,,
90632,Hepa vaccine adult im,1 ML,71.853,20.000,,,,,,,
90662,Iiv no prsv increased ag im,0.5 ML,69.941,0.000,95,69.941,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90670,Pcv13 vaccine im,0.5 ML,257.989,0.000,95,257.989,,,,,
90671,PCV15 vaccine IM,1 EA,246.195,0.000,95,246.195,,,,,
90672,Laiv4 vaccine intranasal,0.2 ML,26.876,0.000,95,26.876,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,32.278,0.000,95,32.278,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90675,Rabies vaccine im,1 ML,329.989,20.000,,,,,,,
90677,Pcv20 vaccine im,0.5 ML,288.664,0.000,95,288.664,,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,69.941,0.000,95,69.941,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
