,,,,,,,,,,,
Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective October 1, 2008 through December 31, 2008",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q08 ASP data. ,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,
processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood Limit,Notes,
90371,"Hep b ig, im",1 ML,$123.870,,,,,,,,
90375,"Rabies ig, im/sc",150 IU,$90.895,,,,,,,,
90376,"Rabies ig, heat treated",150 IU,$98.077,,,,,,,,
90385,"Rh ig, minidose, im",50 MCG,$25.991,,,,,,,,
90585,"Bcg vaccine, percut",50 MG,$118.105,,,,,,,,
90586,"Bcg vaccine, intravesical",1 EACH,$114.487,,,,,,,
90632,"Hep a vaccine, adult im",1 ML,$46.856,,,,,,,
90633,"Hep a vacc, ped/adol, 2 dose",1 ML,$25.146,,,,,,,
90645,"Hib vaccine, hboc, im",1 EACH,$23.340,,,,,,,
90647,"Hib vaccine, prp-omp, im",0.5 ML,$23.340,,,,,,,
90648,"Hib vaccine, prp-t, im",0.5 ML,$21.782,,,,,,,
90655,"Flu vaccine no preserv 6-35m, im",0.25 ML,$16.879,95,$16.879,,,,,
90656,"Flu vaccine no preserv 3 yo & >, im",0.50 ML,$18.198,95,$18.198,,,,,
90657,"Flu vaccine, 6-35 mo, im",0.25 ML,$6.609,95,$6.609,,,,,
90658,"Flu vaccine age 3 yo & over, im",0.5 ML,$13.218,95,$13.218,,,,,
90660,"Flu vaccine, nasal",0.5 ML,$22.316,95,$22.316,,,,,
90669,"Pneumococcal vacc, ped <5, IM",0.5 ML,$78.803,95,$78.803,,,,,
90675,"Rabies vaccine, im",1 ML,$146.881,,,,,,,
90691,"Typhoid vaccine, im",0.5 ML,$53.321,,,,,,,
90700,"Dtap vaccine, < 7 yo, im",0.5 ML,$17.584,,,,,,,
90702,"Dt vaccine < 7 yo, im",0.5 ML,$24.963,,,,,,,
90703,"Tetanus vaccine, im",0.5 ML,$21.990,,,,,,,
90704,"Mumps vaccine, sc",0.5 ML,$22.203,,,,,,,
90705,"Measles vaccine, sc",0.5 ML,$17.135,,,,,,,
90706,"Rubella vaccine, sc",0.5 ML,$18.919,,,,,,,
90707,"Mmr vaccine, sc",0.5 ML,$44.817,,,,,,,
90713,"Poliovirus, ipv, sc/im",0.5 ML,$26.517,,,,,,,
90714,"Td vaccine no prsrv >/= 7 yo, im",0.5 ML,$19.701,,,,,,,
90715,"Tdap => 7 yo, im",0.5 ML,$34.699,,,,,,,
90716,"Chicken pox vaccine, sc",0.5 ML,$77.330,,,,,,,
90717,"Yellow fever vaccine, sc",0.5 ML,$57.754,,,,,,,
90718,"Td vaccine >/= 7 yo, im",0.5 ML,$12.207,,,,,,,
90721,"Dtap/hib vaccine, im",1 EACH,$42.886,,,,,,,
90732,Pneumococcal vaccine,0.5 ML,$32.703,95,$32.703,,,,,
90733,"Meningococcal vaccine, sc",0.5 ML,$93.867,,,,,,,
90735,"Encephalitis vaccine, sc",1 ML,$102.078,,,,,,,
90740,"Hepb vacc, ill pat 3 dose im",40 MCG,$119.415,95,$119.415,,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,$24.216,95,$24.216,,,,,
90744,Hepb vacc ped/adol 3 dose im,1 DOSE,$24.216,95,$24.216,,,,,
90746,"Hep b vaccine, adult, im",20 MCG,$59.708,95,$59.708,,,,,
90747,"Hepb vacc, ill pat 4 dose im",40 MCG,$119.415,95,$119.415,,,,,
A9576,Inj Prohance Multipack,1 ML,$2.367,,,,,,,
A9577,Inj Multihance,1 ML,$2.781,,,,,,,
A9578,Inj Multihance Multipack,1 ML,$2.623,,,,,,,
A9579,Gad-base MR contrast NOS,1 ML,$2.398,,,,,,,
J0129,"Abatacept, inj",10 MG,$18.689,,,,,,,
J0130,Abciximab injection,10 MG,$442.031,,,,,,,
J0132,Acetylcysteine injection,100 MG,$2.190,,,,,,,
