Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective October 1, 2009 through December 31, 2009",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q09 ASP data. ,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,
processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,"Hep b ig, im",1 ML,115.971,,,,,,,,Updated January 2010
90375,"Rabies ig, im/sc",150 IU,145.532,,,,,,,,
90376,"Rabies ig, heat treated",150 IU,132.666,,,,,,,,
90385,"Rh ig, minidose, im",50 MCG,26.299,,,,,,,,
90585,"Bcg vaccine, percut",50 MG,113.812,,,,,,,,
90586,"Bcg vaccine, intravesical",1 EACH,113.213,,,,,,,,
90632,"Hep a vaccine, adult im",1 ML,45.55,,,,,,,,
90633,"Hep a vacc, ped/adol, 2 dose",1 ML,21.756,,,,,,,,
90645,"Hib vaccine, hboc, im",1 EACH,23.34,,,,,,,,
90647,"Hib vaccine, prp-omp, im",0.5 ML,23.34,,,,,,,,
90648,"Hib vaccine, prp-t, im",0.5 ML,22.834,,,,,,,,
90655,"Flu vaccine no preserv 6-35m, im",0.25 ML,15.447,95,15.447,,,,,,
90656,"Flu vaccine no preserv 3 yo & >, im",0.50 ML,12.541,95,12.541,,,,,,
90657,"Flu vaccine, 6-35 mo, im",0.25 ML,5.684,95,5.684,,,,,,
90658,"Flu vaccine age 3 yo & over, im",0.5 ML,11.368,95,11.368,,,,,,
90660,"Flu vaccine, nasal",0.2 ML,22.316,95,22.316,,,,,,
90669,"Pneumococcal vacc, ped <5, IM",0.5 ML,95.481,95,95.481,,,,,,
90675,"Rabies vaccine, im",1 ML,154.891,,,,,,,,
90691,"Typhoid vaccine, im",0.5 ML,57.073,,,,,,,,
90700,"Dtap vaccine, < 7 yo, im",0.5 ML,15.328,,,,,,,,
90702,"Dt vaccine < 7 yo, im",0.5 ML,30.806,,,,,,,,
90703,"Tetanus vaccine, im",0.5 ML,22.324,,,,,,,,
90704,"Mumps vaccine, sc",0.5 ML,22.783,,,,,,,,
