Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,
,,,,,,,,,,,,
"Effective October 1, 2013 through December 31, 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q13 ASP data. ,,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,,
processing the claim.,,,,,,,,,,,,
,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
90371,"Hep b ig, im",1 ML,112.029,,,,,,,,,
90375,"Rabies ig, im/sc",150 IU,219.815,,,,,,,,,
90376,"Rabies ig, heat treated",150 IU,216.535,,,,,,,,,
90385,"Rh ig, minidose, im",50 MCG,25.281,,,,,,,,,
90585,"Bcg vaccine, percut",50 MG,120.914,,,,,,,,,
90586,"Bcg vaccine, intravesical",1 EACH,120.914,,,,,,,,,
90632,"Hep a vaccine, adult im",1 ML,49.667,,,,,,,,,
90654,"Flu vaccine, intradermal, no preserv",0.1 ML,18.918,95,18.918,,,,,,,
90655,"Flu vaccine no preserv 6-35m, im",0.25 ML,17.243,95,17.243,,,,,,,
90656,"Flu vaccine no preserv 3 yo & >, im",0.50 ML,12.398,95,12.398,,,,,,,
90657,"Flu vaccine, 6-35 mo, im",0.25 ML,6.022,95,6.022,,,,,,,
90662,Flu vacc prsv free inc antig,0.5 ML,31.823,95,31.823,,,,,,,
90669,"Pneumococcal vacc, 7 val im",0.5 ML,95.481,95,95.481,,,,,,,
90670,"Pneumococcal vacc, 13 val im",0.5 ML,145.107,95,145.107,,,,,,,
90672,Flu vaccine 4 valent nasal,0.2 ml,24.596,95,24.596,,,,,,Added October 2013,
90675,"Rabies vaccine, im",1 ML,232.385,,,,,,,,,
