Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective October 1, 2014 through December 31, 2014",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q14 ASP data. ,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,
processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,"Hep b ig, im",1 ML,117.379,,,,,,,,
90375,"Rabies ig, im/sc",150 IU,247.567,,,,,,,,
90376,"Rabies ig, heat treated",150 IU,237.823,,,,,,,,
90385,"Rh ig, minidose, im",50 MCG,34.662,,,,,,,,
90585,"Bcg vaccine, percut",50 MG,121.959,,,,,,,,
90586,"Bcg vaccine, intravesical",1 EACH,121.959,,,,,,,,
90632,"Hep a vaccine, adult im",1 ML,49.539,,,,,,,,
90654,"Flu vaccine, intradermal, no preserv",0.1 ML,18.918,95,18.918,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90656,"Flu vaccine no preserv 3 yo & >, im",0.50 ML,14.096,95,14.096,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90657,"Flu vaccine, 6-35 mo, im",0.25 ML,6.022,95,6.022,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90661,"Flu vaccine, no preserv, 3 +, im, cell cultures",0.5 ML,21.666,95,21.666,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90662,Flu vacc prsv free inc antig,0.5 ML,33.374,95,33.374,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,"Pneumococcal vacc, 13 val im",0.5 ML,153.963,95,153.963,,,,,,
90672,Flu vaccine 4 valent nasal,0.2 ml,25.736,95,25.736,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90675,"Rabies vaccine, im",1 ML,223.778,,,,,,,,
90685,Flu vac no prsv 4 val 6-35 m,0.25 mL,23.900,95,23.900,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90686,Flu vac no prsv 4 val 3 yrs+,0.5 ml,17.984,95,17.984,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90687,"Flu vaccine, 6-35 mon, IM, 4 val",0.25 ML,9.134,95,9.134,,,,,,added October 2014 - see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90688,"Flu vaccine, 3 +, IM, 4 val",0.5 ML,16.844,95,16.844,,,,,,added October 2014 - see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90691,"Typhoid vaccine, im",0.5 ML,68.549,,,,,,,,
90703,"Tetanus vaccine, im",0.5 ML,41.265,,,,,,,,
90714,"Td vaccine no prsrv >/= 7 yo, im",0.5 ML,21.955,,,,,,,,
90715,"Tdap => 7 yo, im",0.5 ML,33.316,,,,,,,,
90732,Pneumococcal vaccine,0.5 ML,77.847,95,77.847,,,,,,
90733,"Meningococcal vaccine, sc",0.5 ML,106.492,,,,,,,,
90740,"Hepb vacc, ill pat 3 dose im",40 MCG,119.415,95,119.415,,,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,24.216,95,24.216,,,,,,
90744,Hepb vacc ped/adol 3 dose im,1 DOSE,24.216,95,24.216,,,,,,
90746,"Hep b vaccine, adult, im",20 MCG,59.708,95,59.708,,,,,,
90747,"Hepb vacc, ill pat 4 dose im",40 MCG,119.415,95,119.415,,,,,,
A9575,Inj gadoterate meglumi,0.1 ml,0.361,,,,,,,,
A9576,Inj prohance multipack,1 ML,1.823,,,,,,,,
A9577,Inj multihance,1 ML,2.224,,,,,,,,
A9578,Inj multihance multipack,1 ML,1.747,,,,,,,,
A9579,"Gad-base MR contrast NOS,1ml",1 ML,2.012,,,,,,,,
