Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Effective October 1, 2015 through December 31, 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q15 ASP data. ,,,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,,,
processing the claim.,,,,,,,,,,,,,
,,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
90371,"Hep b ig, im",1 ML,110.385,,,,,,,,,,
90375,"Rabies ig, im/sc",150 IU,285.929,,,,,,,,,,
90376,"Rabies ig, heat treated",150 IU,252.953,,,,,,,,,,
90585,"Bcg vaccine, percut",50 MG,122.881,,,,,,,,,,
90586,"Bcg vaccine, intravesical",1 EACH,122.881,,,,,,,,,,
90630,IIV4 Vacc no prsv 3 yrs+ id,0.1 ml,23.467,,,,,,,,added October 2015 - see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90632,"Hep a vaccine, adult im",1 ML,49.395,,,,,,,,,,
90656,"Flu vaccine no preserv 3 yo & >, im",0.50 ML,13.880,95,13.880,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90657,"Flu vaccine, 6-35 mo, im",0.25 ML,6.022,95,6.022,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90661,"Flu vaccine, no preserv, 3 +, im, cell cultures",0.5 ML,22.288,95,22.288,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90662,Flu vacc prsv free inc antig,0.5 ML,36.315,95,36.315,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90670,"Pneumococcal vacc, 13 val im",0.5 ML,173.151,95,173.151,,,,,,,,
90672,Flu vaccine 4 valent nasal,0.2 ml,26.876,95,26.876,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90673,Flu vacc riv3 no preserv,0.5 ML,37.193,95,37.193,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90675,"Rabies vaccine, im",1 ML,263.538,,,,,,,,,,
90685,Flu vac no prsv 4 val 6-35 m,0.25 mL,24.596,95,24.596,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90686,Flu vac no prsv 4 val 3 yrs+,0.5 ml,18.155,95,18.155,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90687,"Flu vaccine, 6-35 mon, IM, 4 val",0.25 ML,9.134,95,9.134,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,,
90688,"Flu vaccine, 3 +, IM, 4 val",0.5 ML,18.269,95,18.269,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,,
90691,"Typhoid vaccine, im",0.5 ML,71.176,,,,,,,,,,
90714,"Td vaccine no prsrv >/= 7 yo, im",0.5 ML,21.062,,,,,,,,,,
90715,"Tdap => 7 yo, im",0.5 ML,31.575,,,,,,,,,,
90732,Pneumococcal vaccine,0.5 ML,82.513,95,82.513,,,,,,,,
